Round,Company Name,Eligibility,Required Activity,Submitted Activity,Requested Commitment,Processed Activity,Commitment,Eligibility Next Round,Activity Rule
1,Huron Tel,300,270,300,965000,300,965000,300,0.9
1,NE&W SPC,3349,3015,3273,9925000,3273,9925000,3349,0.900268737
1,Rogers,57219,51498,57193,171949000,57193,171949000,57219,0.900015729
1,Indigitel,8,8,8,24000,8,24000,8,1
1,Brooke Telecom,40,36,40,126000,40,126000,40,0.9
1,Cooptel,144,130,134,402000,134,402000,144,0.902777778
1,Kingston Online,36,33,36,116000,36,116000,36,0.916666667
1,NWIC,24,22,22,70000,22,70000,24,0.916666667
1,Bruce Telecom,200,180,200,600000,200,600000,200,0.9
1,SaskTel,1040,936,1040,3015000,1040,3015000,1040,0.9
1,ABC Internet,72,65,66,234000,66,234000,72,0.902777778
1,Ecotel,126,114,114,297000,114,297000,126,0.904761905
1,MPVWIFI,6,6,6,19000,6,19000,6,1
1,Bragg,3829,3447,3824,11485000,3824,11485000,3829,0.900235048
1,Elite General,56252,50627,43630,130770000,43630,130770000,48477,0.900003555
1,TELUS,112604,101344,112604,338357000,112604,338357000,112604,0.900003552
1,City West,150,135,150,384000,150,384000,150,0.9
1,Tbaytel,239,216,236,677000,236,677000,239,0.90376569
1,Vidéotron,96983,87285,89205,268146000,89205,268146000,96983,0.900003093
1,Sogetel,1333,1200,1333,4026000,1333,4026000,1333,0.900225056
1,Novus,2110,1899,2110,6337000,2110,6337000,2110,0.9
1,Bell,73282,65954,71894,216092000,71894,216092000,73282,0.900002729
2,Huron Tel,300,270,300,1070000,300,1070000,300,0.9
2,NE&W SPC,3349,3015,3283,11019000,3343,11211000,3349,0.900268737
2,Rogers,57219,51498,57193,189537400,57193,179336100,57219,0.900015729
2,Indigitel,8,8,8,28000,8,24000,8,1
2,Brooke Telecom,40,36,40,140000,40,140000,40,0.9
2,Cooptel,144,130,134,445700,134,443700,144,0.902777778
2,Kingston Online,36,33,36,130800,36,130800,36,0.916666667
2,NWIC,24,22,22,78000,22,74000,24,0.916666667
2,Bruce Telecom,200,180,200,664000,200,664000,200,0.9
2,SaskTel,1040,936,1040,3335000,1040,3035000,1040,0.9
2,ABC Internet,72,65,66,248300,66,234000,72,0.902777778
2,Ecotel,126,114,114,331500,114,320800,126,0.904761905
2,MPVWIFI,6,6,5,18000,6,21000,6,1
2,Bragg,3829,3447,3053,10233200,3053,9744000,3392,0.900235048
2,Elite General,48477,43630,33520,110597000,43630,138449000,48477,0.90001444
2,TELUS,112604,101344,111828,370184600,111829,352832100,112604,0.900003552
2,City West,150,135,150,432400,150,403900,150,0.9
2,Tbaytel,239,216,236,750800,236,749000,239,0.90376569
2,Vidéotron,96983,87285,74216,245424700,79656,250423600,88506,0.900003093
2,Sogetel,1333,1200,1332,4450500,1332,4120500,1333,0.900225056
2,Novus,2110,1899,2110,6971000,2110,6337000,2110,0.9
2,Bell,73282,65954,71295,235955500,71307,223030800,73282,0.900002729
3,Huron Tel,300,270,300,1185000,300,1185000,300,0.9
3,NE&W SPC,3349,3015,3105,11507000,3285,11892000,3349,0.900268737
3,Rogers,57219,51498,57193,197638600,57193,180755700,57219,0.900015729
3,Indigitel,8,8,8,28000,8,24000,8,1
3,Brooke Telecom,40,36,40,154000,40,154000,40,0.9
3,Cooptel,144,130,134,494000,134,447000,144,0.902777778
3,Kingston Online,36,33,36,146000,36,146000,36,0.916666667
3,NWIC,24,22,22,84000,22,74000,24,0.916666667
3,Bruce Telecom,200,180,190,688000,190,688000,200,0.9
3,SaskTel,1040,936,1040,3360000,1040,3060000,1040,0.9
3,ABC Internet,72,65,66,254300,66,234000,72,0.902777778
3,Ecotel,126,114,112,353000,113,332700,125,0.904761905
3,MPVWIFI,6,6,0,0,1,3000,1,1
3,Bragg,3392,3053,3050,10787300,3050,9762900,3388,0.900058962
3,Elite General,48477,43630,27780,98152000,43630,139556000,48477,0.90001444
3,TELUS,112604,101344,111828,388654000,111829,354836500,112604,0.900003552
3,City West,150,135,150,455200,150,426700,150,0.9
3,Tbaytel,239,216,236,837800,236,836000,239,0.90376569
3,Vidéotron,88506,79656,74787,257857100,80267,253174000,88506,0.900006779
3,Sogetel,1333,1200,1332,4557000,1332,4203000,1333,0.900225056
