Round,Product Number,Service Area Name,Supply,Aggregate Demand,Company Name,Processed Demand,Requested Demand Change Applied?,Processed Demand Detail,Posted Price,Next Round Clock Price,Increment (%)
1,4-081-0,Kincardine,5,29,Huron Tel,5,,,95000,105000,10.52
1,4-081-1,Kincardine,20,16,Huron Tel,5,,,55000,61000,10.9
1,4-082-0,Listowel / Goderich,25,32,Huron Tel,5,,,43000,48000,11.62
1,4-068-0,Brockville,25,38,NE&W SPC,8,,,36000,40000,11.11
1,4-069-0,Gananoque,25,43,NE&W SPC,10,,,7000,7700,10
1,4-070-0,Kingston,25,35,NE&W SPC,6,,,115000,127000,10.43
1,4-071-0,Napanee,25,39,NE&W SPC,6,,,22000,25000,13.63
1,4-072-0,Belleville,25,40,NE&W SPC,6,,,101000,112000,10.89
1,4-073-0,Cobourg,25,42,NE&W SPC,7,,,33000,37000,12.12
1,4-074-0,Peterborough,25,37,NE&W SPC,8,,,108000,119000,10.18
1,4-075-0,Lindsay,25,28,NE&W SPC,7,,,23000,26000,13.04
1,4-078-0,Alliston,25,36,NE&W SPC,7,,,66000,73000,10.6
1,4-079-0,Guelph / Kitchener,25,26,NE&W SPC,1,,,460000,506000,10
1,4-080-0,Fergus,25,36,NE&W SPC,7,,,15000,17000,13.33
1,4-081-0,Kincardine,5,29,NE&W SPC,5,,,95000,105000,10.52
1,4-081-1,Kincardine,20,16,NE&W SPC,2,,,55000,61000,10.9
1,4-082-0,Listowel / Goderich,25,32,NE&W SPC,7,,,43000,48000,11.62
1,4-086-0,London / Woodstock / St. Thomas,25,27,NE&W SPC,4,,,441000,486000,10.2
1,4-087-0,Brantford,25,29,NE&W SPC,3,,,90000,99000,10
1,4-088-0,Stratford,25,27,NE&W SPC,7,,,26000,29000,11.53
1,4-089-0,Chatham,25,34,NE&W SPC,5,,,35000,39000,11.42
1,4-090-0,Windsor / Leamington,25,32,NE&W SPC,8,,,261000,288000,10.34
1,4-091-0,Wallaceburg,25,27,NE&W SPC,5,,,16000,18000,12.5
1,4-092-0,Sarnia,25,39,NE&W SPC,5,,,63000,70000,11.11
1,4-093-0,Strathroy,25,25,NE&W SPC,4,,,24000,27000,12.5
1,4-001-0,St. John's,25,24,Rogers,4,,,166000,183000,10.24
1,4-002-0,Placentia,25,27,Rogers,4,,,8000,8800,10
1,4-003-0,Gander / Grand Falls / Windsor,25,27,Rogers,4,,,74000,82000,10.81
1,4-004-0,Corner Brook / Stephenville,25,27,Rogers,4,,,40000,44000,10
1,4-005-0,Labrador,5,17,Rogers,4,,,14000,16000,14.28
1,4-006-0,Charlottetown,25,24,Rogers,4,,,49000,54000,10.2
1,4-007-0,Summerside,25,24,Rogers,4,,,24000,27000,12.5
1,4-008-0,Yarmouth,25,24,Rogers,4,,,28000,31000,10.71
1,4-009-0,Bridgewater / Kentville,25,27,Rogers,5,,,71000,79000,11.26
1,4-010-0,Halifax,25,20,Rogers,4,,,283000,312000,10.24
1,4-011-0,Truro,25,27,Rogers,5,,,29000,32000,10.34
1,4-012-0,Amherst,25,25,Rogers,4,,,17000,19000,11.76
1,4-013-0,Antigonish / New Glasgow,25,27,Rogers,5,,,36000,40000,11.11
1,4-014-0,Sydney,25,24,Rogers,4,,,67000,74000,10.44
1,4-015-0,Saint John,25,29,Rogers,6,,,93000,103000,10.75
1,4-016-0,St. Stephen,25,31,Rogers,6,,,13000,15000,15.38
1,4-017-0,Fredericton,25,29,Rogers,6,,,107000,118000,10.28
1,4-018-0,Moncton,25,29,Rogers,6,,,116000,128000,10.34
1,4-019-0,Miramichi / Bathurst,25,29,Rogers,6,,,80000,88000,10
1,4-020-0,Grand Falls,25,29,Rogers,6,,,13000,15000,15.38
1,4-021-0,Edmundston,25,26,Rogers,4,,,14000,16000,14.28
1,4-022-0,Campbellton,25,29,Rogers,6,,,14000,16000,14.28
1,4-023-0,Matane,25,15,Rogers,10,,,57000,63000,10.52
1,4-024-0,Mont-Joli,25,21,Rogers,6,,,19000,21000,10.52
1,4-025-0,Rimouski,25,24,Rogers,6,,,29000,32000,10.34
1,4-026-0,Rivière-du-Loup,25,28,Rogers,6,,,42000,47000,11.9
1,4-027-0,La Malbaie,25,21,Rogers,6,,,14000,16000,14.28
1,4-028-0,Chicoutimi-Jonquière,25,36,Rogers,6,,,142000,157000,10.56
1,4-029-0,Montmagny,25,26,Rogers,6,,,29000,32000,10.34
1,4-030-0,Québec,25,25,Rogers,3,,,588000,647000,10.03
1,4-031-0,Sainte-Marie,25,26,Rogers,6,,,27000,30000,11.11
1,4-032-0,Saint-Georges,25,26,Rogers,6,,,36000,40000,11.11
1,4-033-0,Lac-Mégantic,25,25,Rogers,6,,,12000,14000,16.66
1,4-034-0,Thetford Mines,25,24,Rogers,6,,,21000,24000,14.28
1,4-035-0,Plessisville,25,23,Rogers,6,,,12000,14000,16.66
1,4-036-0,La Tuque,25,30,Rogers,6,,,8000,8800,10
1,4-037-0,Trois-Rivières,25,17,Rogers,7,,,172000,190000,10.46
1,4-038-0,Louiseville,25,26,Rogers,6,,,11000,13000,18.18
1,4-039-0,Asbestos,25,27,Rogers,6,,,15000,17000,13.33
1,4-040-0,Victoriaville,25,26,Rogers,6,,,29000,32000,10.34
1,4-041-0,Coaticook,25,22,Rogers,6,,,7000,7700,10
1,4-042-0,Sherbrooke,25,22,Rogers,7,,,163000,180000,10.42
1,4-043-0,Windsor,25,31,Rogers,6,,,9000,9900,10
1,4-044-0,Drummondville,25,23,Rogers,8,,,73000,81000,10.95
1,4-045-0,Cowansville,25,25,Rogers,5,,,15000,17000,13.33
1,4-046-0,Farnham,25,22,Rogers,6,,,15000,17000,13.33
1,4-047-0,Granby,25,25,Rogers,5,,,54000,60000,11.11
1,4-048-0,St-Hyacinthe,25,23,Rogers,6,,,47000,52000,10.63
1,4-049-0,Sorel,25,21,Rogers,5,,,30000,33000,10
1,4-050-0,Joliette,25,17,Rogers,4,,,82000,91000,10.97
1,4-051-0,Montréal,25,25,Rogers,4,,,10097000,11107000,10
1,4-052-0,Sainte-Agathe-des-Monts,25,27,Rogers,6,,,39000,43000,10.25
1,4-053-0,Hawkesbury,25,28,Rogers,6,,,33000,37000,12.12
1,4-054-0,Mont-Laurier / Maniwaki,25,25,Rogers,6,,,25000,28000,12
1,4-055-0,Ottawa,25,22,Rogers,3,,,1453000,1599000,10.04
1,4-056-0,Pembroke,25,38,Rogers,6,,,42000,47000,11.9
1,4-057-0,Arnprior / Renfrew,25,21,Rogers,5,,,16000,18000,12.5
1,4-058-0,Rouyn-Noranda,25,26,Rogers,6,,,22000,25000,13.63
1,4-059-0,Notre-Dame-du-Nord,25,25,Rogers,6,,,8000,8800,10
1,4-060-0,La Sarre,25,27,Rogers,6,,,10000,11000,10
1,4-061-0,Amos,5,15,Rogers,5,,,13000,15000,15.38
1,4-062-0,Val-d'Or,5,14,Rogers,5,,,23000,26000,13.04
1,4-063-0,Roberval / Saint-Félicien,25,26,Rogers,6,,,30000,33000,10
1,4-064-0,Baie-Comeau,25,21,Rogers,6,,,22000,25000,13.63
1,4-065-0,Port-Cartier / Sept-Îles,25,26,Rogers,10,,,24000,27000,12.5
