Round,Status,Start,End,Product Number,Service Area Name,Start Price,Clock Price,Posted Price,Supply,Aggregate Demand
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-001-0,St. John's,166000,,,25,24
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-002-0,Placentia,8000,,,25,27
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-003-0,Gander / Grand Falls / Windsor,74000,,,25,27
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-004-0,Corner Brook / Stephenville,40000,,,25,27
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-005-0,Labrador,14000,,,5,17
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-005-1,Labrador,2000,,,20,10
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-006-0,Charlottetown,49000,,,25,24
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-007-0,Summerside,24000,,,25,24
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-008-0,Yarmouth,28000,,,25,24
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-009-0,Bridgewater / Kentville,71000,,,25,27
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-010-0,Halifax,283000,,,25,20
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-011-0,Truro,29000,,,25,27
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-012-0,Amherst,17000,,,25,25
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-013-0,Antigonish / New Glasgow,36000,,,25,27
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-014-0,Sydney,67000,,,25,24
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-015-0,Saint John,93000,,,25,29
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-016-0,St. Stephen,13000,,,25,31
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-017-0,Fredericton,107000,,,25,29
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-018-0,Moncton,116000,,,25,29
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-019-0,Miramichi / Bathurst,80000,,,25,29
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-020-0,Grand Falls,13000,,,25,29
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-021-0,Edmundston,14000,,,25,26
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-022-0,Campbellton,14000,,,25,29
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-023-0,Matane,57000,,,25,15
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-024-0,Mont-Joli,19000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-025-0,Rimouski,29000,,,25,24
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-026-0,Rivière-du-Loup,42000,,,25,28
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-027-0,La Malbaie,14000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-028-0,Chicoutimi-Jonquière,142000,,,25,36
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-029-0,Montmagny,29000,,,25,26
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-030-0,Québec,588000,,,25,25
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-031-0,Sainte-Marie,27000,,,25,26
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-032-0,Saint-Georges,36000,,,25,26
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-033-0,Lac-Mégantic,12000,,,25,25
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-034-0,Thetford Mines,21000,,,25,24
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-035-0,Plessisville,12000,,,25,23
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-036-0,La Tuque,8000,,,25,30
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-037-0,Trois-Rivières,172000,,,25,17
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-038-0,Louiseville,11000,,,25,26
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-039-0,Asbestos,15000,,,25,27
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-040-0,Victoriaville,29000,,,25,26
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-041-0,Coaticook,7000,,,25,22
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-042-0,Sherbrooke,163000,,,25,22
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-043-0,Windsor,9000,,,25,31
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-044-0,Drummondville,73000,,,25,23
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-045-0,Cowansville,15000,,,25,25
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-046-0,Farnham,15000,,,25,22
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-047-0,Granby,54000,,,25,25
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-048-0,St-Hyacinthe,47000,,,25,23
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-049-0,Sorel,30000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-050-0,Joliette,82000,,,25,17
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-051-0,Montréal,10097000,,,25,25
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-052-0,Sainte-Agathe-des-Monts,39000,,,25,27
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-053-0,Hawkesbury,33000,,,25,28
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-054-0,Mont-Laurier / Maniwaki,25000,,,25,25
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-055-0,Ottawa,1453000,,,25,22
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-056-0,Pembroke,42000,,,25,38
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-057-0,Arnprior / Renfrew,16000,,,25,21
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-058-0,Rouyn-Noranda,22000,,,25,26
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-059-0,Notre-Dame-du-Nord,8000,,,25,25
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-060-0,La Sarre,10000,,,25,27
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-061-0,Amos,13000,,,5,15
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-061-1,Amos,4000,,,20,7
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-062-0,Val-d'Or,23000,,,5,14
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-062-1,Val-d'Or,1000,,,20,10
1,Posted,2023-10-24 10:00:00,2023-10-24 13:00:00,4-063-0,Roberval / Saint-Félicien,30000,,,25,26
